=== REPORTE DE MÉTRICAS ===
Fecha: 2025-11-20T08:07:34.935680600

--- ESTADÍSTICAS GENERALES ---
Total solicitudes procesadas: 200
Solicitudes exitosas: 200
Solicitudes fallidas: 0
Tasa de éxito: 100,00%

--- ESTADÍSTICAS POR COMPONENTE ---
PS: Promedio=40,57 ms, Min=1 ms, Max=112 ms, Total=200, Exitosas=200

--- ESTADÍSTICAS POR OPERACIÓN ---
ENVIO_SOLICITUD: Promedio=40,18 ms, Min=1 ms, Max=111 ms, Exitosas=100/100
LECTURA_LINEA: Promedio=40,97 ms, Min=2 ms, Max=112 ms, Exitosas=100/100

--- DETALLES DE MÉTRICAS ---
Componente | Operación | Duración (ms) | Éxito | Detalles
------------------------------------------------------------
PS | ENVIO_SOLICITUD | 83,42 | Sí | PRESTAMO:1 -> Préstamo rechazado: NO (ya está prestado)
PS | LECTURA_LINEA | 99,52 | Sí | Línea 1
PS | ENVIO_SOLICITUD | 65,96 | Sí | PRESTAMO:3 -> Préstamo rechazado: NO (ya está prestado)
PS | LECTURA_LINEA | 66,47 | Sí | Línea 2
PS | ENVIO_SOLICITUD | 65,19 | Sí | PRESTAMO:6 -> Préstamo rechazado: NO (ya está prestado)
PS | LECTURA_LINEA | 65,74 | Sí | Línea 3
PS | ENVIO_SOLICITUD | 2,31 | Sí | DEVOLVER:2 -> Devolución aceptada, gracias.
PS | LECTURA_LINEA | 3,64 | Sí | Línea 4
PS | ENVIO_SOLICITUD | 18,18 | Sí | RENOVAR:4 -> Renovación aceptada, nueva fecha: 2025-11-27
PS | LECTURA_LINEA | 18,78 | Sí | Línea 5
PS | ENVIO_SOLICITUD | 65,29 | Sí | PRESTAMO:8 -> Préstamo rechazado: NO (ya está prestado)
PS | LECTURA_LINEA | 65,79 | Sí | Línea 6
PS | ENVIO_SOLICITUD | 2,44 | Sí | DEVOLVER:5 -> Devolución aceptada, gracias.
PS | LECTURA_LINEA | 3,17 | Sí | Línea 7
PS | ENVIO_SOLICITUD | 2,59 | Sí | RENOVAR:7 -> Renovación aceptada, nueva fecha: 2025-11-27
PS | LECTURA_LINEA | 3,07 | Sí | Línea 8
PS | ENVIO_SOLICITUD | 1,99 | Sí | DEVOLVER:9 -> Devolución aceptada, gracias.
PS | LECTURA_LINEA | 2,54 | Sí | Línea 9
PS | ENVIO_SOLICITUD | 67,41 | Sí | PRESTAMO:11 -> Préstamo rechazado: NO (ya está prestado)
PS | LECTURA_LINEA | 67,90 | Sí | Línea 10
PS | ENVIO_SOLICITUD | 64,92 | Sí | PRESTAMO:12 -> Préstamo rechazado: NO (ya está prestado)
PS | LECTURA_LINEA | 65,51 | Sí | Línea 11
PS | ENVIO_SOLICITUD | 2,94 | Sí | DEVOLVER:10 -> Devolución aceptada, gracias.
PS | LECTURA_LINEA | 3,89 | Sí | Línea 12
